Plot,Rep,Block,Row,Column,Entry
1,1,1,1,1,1
2,1,1,1,2,2
3,1,1,1,3,3
4,1,1,1,4,4
5,1,1,1,5,5
6,1,1,1,6,6
7,1,1,1,7,7
8,1,1,1,8,8
9,1,1,1,9,9
10,1,1,1,10,10
11,1,1,1,11,11
12,1,1,1,12,12
13,1,1,1,13,13
14,1,1,1,14,14
15,1,1,1,15,15
16,1,1,1,16,16
17,1,1,1,17,17
18,1,1,1,18,18
19,1,2,2,18,19
20,1,2,2,17,20
21,1,2,2,16,21
22,1,2,2,15,22
23,1,2,2,14,23
24,1,2,2,13,24
25,1,2,2,12,25
26,1,2,2,11,26
27,1,2,2,10,27
28,1,2,2,9,28
29,1,2,2,8,29
30,1,2,2,7,30
31,1,2,2,6,31
32,1,2,2,5,32
33,1,2,2,4,33
34,1,2,2,3,34
35,1,2,2,2,35
36,1,2,2,1,36
37,2,1,3,1,1
38,2,1,3,2,9
39,2,1,3,3,10
40,2,1,3,4,11
41,2,1,3,5,15
42,2,1,3,6,16
43,2,1,3,7,22
44,2,1,3,8,25
45,2,1,3,9,28
46,2,1,3,10,34
47,2,1,3,11,21
48,2,1,3,12,36
49,2,1,3,13,30
50,2,1,3,14,33
51,2,1,3,15,31
52,2,1,3,16,32
53,2,1,3,17,35
54,2,1,3,18,2
55,2,2,4,18,17
56,2,2,4,17,20
57,2,2,4,16,12
58,2,2,4,15,26
59,2,2,4,14,3
60,2,2,4,13,19
61,2,2,4,12,14
62,2,2,4,11,23
63,2,2,4,10,4
64,2,2,4,9,29
65,2,2,4,8,5
66,2,2,4,7,27
67,2,2,4,6,6
68,2,2,4,5,13
69,2,2,4,4,8
70,2,2,4,3,24
71,2,2,4,2,18
72,2,2,4,1,7
